_id,OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,x,y
1623,1623,3522,Charlock Street - 55,Charlock Rd,Arnica Cr,501866.6613,6979388.037,-27.30855973,153.018866,BALD HILLS,2 - Intermediate,Y,Easy,Easy,Medium,10/2/2019 0:00,501866.6613,6979388.037
1624,1624,3523,A.C.U. - 34,Approach Rd,Earnshaw Rd,508493.6408,6971746.085,-27.37752729,153.085897,BANYO,2 - Intermediate,N,Hard,Easy,Easy,,508493.6408,6971746.085
1625,1625,3524,Ogden Street - 35,Midson St,Ogden St,500340.8709,6968415.113,-27.407626,153.0034482,STAFFORD,2 - Intermediate,Y,Easy,Easy,Medium,9/20/2019 12:00:00 AM,500340.8709,6968415.113
1626,1626,3525,St Pauls School district stop,Gympie Rd,Duncan Av,500593.6912,6978286.448,-27.31850624,153.0060009,BALD HILLS,,N,Hard,Hard,Hard,,500593.6912,6978286.448
1627,1627,3526,Gladdon Street,Charlock Rd,Charlock Rd,501885.1,6979409.9,-27.30836233,153.0190524,BALD HILLS,2 - Intermediate,Y,Easy,Easy,Medium,2/2/2023 0:00,501885.1,6979409.9
1628,1628,3528,Brighton School North Road,North Rd,Queens Pde,505144.5098,6980940.663,-27.29453391,153.0519882,BRIGHTON,2 - Intermediate,Y,Easy,Easy,Easy,3/13/2017 12:00:00 AM,505144.5098,6980940.663
1629,1629,3534,Bayview North Road,North Rd,Beaconsfield Tce,506086.0712,6981251.225,-27.29172624,153.0615016,BRIGHTON,2 - Intermediate,Y,Easy,Hard,Medium,12/14/2016 12:00:00 AM,506086.0712,6981251.225
1630,1630,3535,Brighton North North Road,North Rd,Prince St,505890.0681,6981120.491,-27.29290739,153.0595216,BRIGHTON,2 - Intermediate,Y,Easy,Easy,Hard,12/14/2016 12:00:00 AM,505890.0681,6981120.491
1631,1631,3537,Beaconsfield Tce FS Nineteenth Av,Beaconsfield Tce,Nineteenth Av,506162.6596,6981151.911,-27.29262252,153.0622761,BRIGHTON,2 - Intermediate,Y,Easy,Easy,Easy,12/2/2022 0:00,506162.6596,6981151.911
1632,1632,3538,Kilcooly Street - 30,Approach Rd,Kilcooly St,508728.3402,6971412.461,-27.38053781,153.0882729,BANYO,4 - Regular,N,Hard,Easy,Easy,,508728.3402,6971412.461
1633,1633,3550,A.C.U. - 34,Approach Rd,Earnshaw Rd,508447.7763,6971787.473,-27.37715393,153.0854328,BANYO,2 - Intermediate,Y,Easy,Easy,Medium,11/16/2018 12:00:00 AM,508447.7763,6971787.473
1634,1634,3556,Tufnell Road - 31A,Tufnell Rd,St Vincents Rd,507721.2183,6971937.558,-27.37580324,153.0780842,BANYO,2 - Intermediate,N,Medium,Easy,Medium,,507721.2183,6971937.558
1635,1635,3557,Tufnell Road - 31A,Tufnell Rd,St Vincents Rd,507704.8966,6971936.993,-27.37580844,153.0779191,BANYO,2 - Intermediate,N,Easy,Easy,Easy,4/20/2017 12:00:00 AM,507704.8966,6971936.993
1636,1636,3559,College/Frawley,COLLEGE WAY,Frawley St,506676.5828,6974325.416,-27.35425089,153.0675068,BOONDALL,4 - Regular,Y,Easy,Easy,Medium,2/6/2023 0:00,506676.5828,6974325.416
1637,1637,3560,CollegeThoms,COLLEGE WAY,Brigidine Cr,506994.5,6974332.8,-27.35418263,153.0707212,BOONDALL,4 - Regular,N,Medium,Easy,Medium,,506994.5,6974332.8
1638,1638,3561,College/Lourdes,COLLEGE WAY,Lourdes Pl,507235.3464,6974037.047,-27.35685148,153.0731581,BOONDALL,4 - Regular,Y,Easy,Easy,Medium,2/28/2023 12:00:00 AM,507235.3464,6974037.047
1639,1639,3564,Banyo - 30,ST VINCENTS RD,Kennaway St,507534.9198,6971924.879,-27.37591875,153.0762002,BANYO,3 - Regular with seat,Y,Medium,Easy,Medium,2/15/2019 12:00:00 AM,507534.9198,6971924.879
1640,1640,3566,Melville Place - 29,ST VINCENTS RD,Melville Pl,507370.8513,6971801.345,-27.37703493,153.0745418,BANYO,4 - Regular,N,Hard,Hard,Hard,,507370.8513,6971801.345
1641,1641,3567,Chapel Street - 28,ST VINCENTS RD,Chapel St,507247.1362,6971690.193,-27.37803908,153.0732913,BANYO,2 - Intermediate,Y,Easy,Easy,Easy,3/1/2023 0:00,507247.1362,6971690.193
1642,1642,3568,Blinzinger Road - 27,ST VINCENTS RD,Blinzinger Rd,507098.4552,6971578.213,-27.37905083,153.0717883,BANYO,2 - Intermediate,N,Medium,Easy,Medium,,507098.4552,6971578.213
1643,1643,3569,George Street - 26,ST VINCENTS RD,George St,506943.9583,6971461.651,-27.38010395,153.0702265,VIRGINIA,2 - Intermediate,Y,Medium,Easy,Easy,,506943.9583,6971461.651
1644,1644,3571,Toombul Road - 23,ST VINCENTS RD,Meadfoot Rd,506468.9443,6971119.472,-27.38319552,153.0654244,VIRGINIA,4 - Regular,N,Medium,Easy,Hard,,506468.9443,6971119.472
